sensor,PM1 CF,PM1 R2,PM2.5 CF,PM2.5 R2,PM4 CF,PM4 R2,PM10 CF,PM10 R2
A1,1.24,0.995,1.24,0.995,1.25,0.995,1.25,0.995
A2,1.14,0.992,1.14,0.992,1.14,0.992,1.14,0.992
A3,1.16,0.997,1.16,0.997,1.15,0.997,1.15,0.997
A4,1.4,0.985,1.4,0.986,1.4,0.986,1.4,0.986
A5,1.3,0.994,1.3,0.994,1.3,0.994,1.3,0.995
A6,1.43,0.991,1.43,0.992,1.43,0.992,1.43,0.992
A7,1.39,0.873,1.39,0.871,1.39,0.869,1.38,0.868
A8,1.38,0.992,1.37,0.993,1.37,0.993,1.36,0.993
A9,1.17,0.994,1.17,0.994,1.16,0.994,1.16,0.994
A10,1.45,0.99,1.43,0.991,1.42,0.99,1.42,0.99
A11,1.19,0.996,1.19,0.996,1.19,0.996,1.19,0.996
A12,1.16,0.995,1.16,0.995,1.17,0.995,1.17,0.995
A13,1.07,0.993,1.06,0.993,1.06,0.993,1.06,0.993
A14,1.67,0.962,1.66,0.962,1.65,0.962,1.65,0.962
A15,1.53,0.982,1.51,0.981,1.5,0.98,1.49,0.978
A16,1.21,0.996,1.19,0.995,1.17,0.993,1.17,0.992
A17,0.96,0.998,0.96,0.998,0.96,0.998,0.96,0.998
A18,1.08,0.996,1.08,0.996,1.08,0.996,1.08,0.996
A19,1.15,0.982,1.15,0.981,1.14,0.981,1.14,0.981
A20,1.39,0.991,1.38,0.992,1.38,0.992,1.38,0.993
A21,1.32,0.986,1.32,0.985,1.31,0.983,1.31,0.982
A22,1.12,0.997,1.11,0.997,1.11,0.997,1.11,0.997
B1,0.77,0.996,0.77,0.996,0.77,0.996,0.76,0.996
B2,0.97,0.998,0.97,0.998,0.96,0.998,0.96,0.997
B3,0.72,0.995,0.72,0.995,0.71,0.995,0.71,0.995
B4,0.86,0.997,0.86,0.996,0.85,0.995,0.85,0.994
B5,0.86,0.99,0.85,0.99,0.85,0.99,0.85,0.989
B6,0.85,0.981,0.85,0.979,0.85,0.977,0.84,0.975
B7,0.89,0.995,0.88,0.994,0.88,0.993,0.87,0.992
B8,0.95,0.998,0.95,0.998,0.95,0.998,0.94,0.998
B9,0.38,0.991,0.37,0.989,0.37,0.987,0.37,0.986
B10,0.99,0.999,0.99,0.998,0.99,0.998,0.98,0.998
B11,0.78,0.996,0.78,0.995,0.78,0.994,0.78,0.994
B12,0.76,0.991,0.75,0.989,0.74,0.986,0.74,0.984
B13,0.74,0.987,0.74,0.987,0.74,0.987,0.74,0.987
B14,0.73,0.992,0.72,0.992,0.72,0.991,0.72,0.991
B15,0.87,0.997,0.87,0.997,0.87,0.997,0.87,0.997
B16,0.84,0.994,0.83,0.993,0.83,0.991,0.82,0.991
B17,0.71,0.968,0.71,0.968,0.71,0.968,0.71,0.968
B18,0.72,0.994,0.72,0.994,0.72,0.994,0.72,0.994
B19,0.97,0.998,0.96,0.998,0.96,0.997,0.96,0.997
B20,1.0,0.998,0.99,0.997,0.99,0.996,0.98,0.996
B21,0.95,0.99,0.95,0.991,0.95,0.991,0.95,0.991
B22,0.76,0.989,0.76,0.988,0.75,0.987,0.75,0.987
